contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122P00585000,2025-01-22 16:55:47+00:00,585.0,0.01,0.0,0.01,-0.01,-50.0,74.0,4395.0,0.26563234375,False,REGULAR,USD
SPY250122P00586000,2025-01-22 16:40:07+00:00,586.0,0.01,0.0,0.01,-0.02,-66.66667,63.0,5492.0,0.257819921875,False,REGULAR,USD
SPY250122P00587000,2025-01-22 16:02:28+00:00,587.0,0.01,0.0,0.01,-0.02,-66.66667,114.0,6355.0,0.2461012890625,False,REGULAR,USD
SPY250122P00588000,2025-01-22 17:19:15+00:00,588.0,0.01,0.0,0.01,-0.01,-50.0,331.0,7856.0,0.23438265625,False,REGULAR,USD
SPY250122P00589000,2025-01-22 17:26:23+00:00,589.0,0.01,0.0,0.01,-0.02,-66.66667,1131.0,8874.0,0.22266402343749997,False,REGULAR,USD
SPY250122P00590000,2025-01-22 17:40:58+00:00,590.0,0.01,0.0,0.01,-0.03,-75.0,5611.0,14611.0,0.21094539062499998,False,REGULAR,USD
SPY250122P00591000,2025-01-22 17:39:12+00:00,591.0,0.01,0.01,0.02,-0.03,-75.0,7582.0,6913.0,0.21875781249999998,False,REGULAR,USD
SPY250122P00592000,2025-01-22 17:35:08+00:00,592.0,0.02,0.01,0.02,-0.030000001,-75.0,3607.0,7178.0,0.20703917968749996,False,REGULAR,USD
SPY250122P00593000,2025-01-22 17:40:17+00:00,593.0,0.01,0.01,0.02,-0.060000002,-85.71429,1665.0,7016.0,0.195320546875,False,REGULAR,USD
SPY250122P00594000,2025-01-22 17:25:33+00:00,594.0,0.02,0.01,0.02,-0.07000001,-77.77779,7776.0,11857.0,0.18360191406249998,False,REGULAR,USD
SPY250122P00595000,2025-01-22 17:40:33+00:00,595.0,0.01,0.01,0.02,-0.1,-90.90909,8292.0,20222.0,0.16993017578125003,False,REGULAR,USD
SPY250122P00596000,2025-01-22 17:40:01+00:00,596.0,0.02,0.02,0.03,-0.13000001,-86.66667,10032.0,30310.0,0.16797707031250003,False,REGULAR,USD
SPY250122P00597000,2025-01-22 17:39:29+00:00,597.0,0.02,0.02,0.03,-0.18,-90.0,13754.0,21043.0,0.15430533203125002,False,REGULAR,USD
SPY250122P00598000,2025-01-22 17:39:18+00:00,598.0,0.03,0.03,0.04,-0.24000001,-88.888885,10436.0,11426.0,0.147469462890625,False,REGULAR,USD
SPY250122P00599000,2025-01-22 17:42:01+00:00,599.0,0.03,0.03,0.04,-0.35,-89.74359,24404.0,7606.0,0.133797724609375,False,REGULAR,USD
SPY250122P00600000,2025-01-22 17:42:00+00:00,600.0,0.05,0.04,0.05,-0.45999998,-90.196075,44528.0,14351.0,0.12500875,False,REGULAR,USD
SPY250122P00601000,2025-01-22 17:42:05+00:00,601.0,0.05,0.04,0.05,-0.65999997,-92.95775,29243.0,10760.0,0.11036045898437499,False,REGULAR,USD
SPY250122P00602000,2025-01-22 17:42:23+00:00,602.0,0.06,0.05,0.06,-0.94,-94.0,62226.0,9605.0,0.09961837890625,False,REGULAR,USD
SPY250122P00603000,2025-01-22 17:41:34+00:00,603.0,0.08,0.07,0.08,-1.3299999,-94.32624,91521.0,5556.0,0.0893645751953125,False,REGULAR,USD
SPY250122P00604000,2025-01-22 17:42:23+00:00,604.0,0.1,0.09,0.1,-1.8199999,-94.79167,150458.0,1107.0,0.07715766601562501,False,REGULAR,USD
SPY250122P00605000,2025-01-22 17:42:32+00:00,605.0,0.15,0.14,0.15,-2.4299998,-94.55253,228734.0,754.0,0.0669038623046875,False,REGULAR,USD
SPY250122P00606000,2025-01-22 17:42:28+00:00,606.0,0.25,0.24,0.25,-3.05,-92.42424,234622.0,253.0,0.05689419677734375,False,REGULAR,USD
SPY250122P00607000,2025-01-22 17:42:35+00:00,607.0,0.47,0.45,0.48,-3.6899998,-88.70192,179999.0,301.0,0.04883763671875,False,REGULAR,USD
SPY250122P00608000,2025-01-22 17:42:35+00:00,608.0,0.9,0.9,0.91,-4.0,-81.4664,53389.0,121.0,0.03785141845703125,True,REGULAR,USD
SPY250122P00609000,2025-01-22 17:42:15+00:00,609.0,1.62,1.62,1.67,-4.05,-70.9282,9101.0,13.0,1.0000000000000003e-05,True,REGULAR,USD
SPY250122P00611000,2025-01-22 17:33:49+00:00,611.0,3.5,3.35,3.84,-3.77,-51.856945,925.0,6.0,0.0913176806640625,True,REGULAR,USD
SPY250122P00613000,2025-01-22 16:34:17+00:00,613.0,5.9,5.19,5.89,-3.3600001,-36.285095,20.0,,0.1355066918945313,True,REGULAR,USD
SPY250122P00614000,2025-01-22 15:53:29+00:00,614.0,6.8,5.96,6.9,-9.669999,-58.71281,4.0,,0.15479360839843753,True,REGULAR,USD
SPY250122P00640000,2025-01-16 16:35:03+00:00,640.0,34.38,31.82,33.06,-12.619999,-26.85106,3.0,,0.5922892333984376,True,REGULAR,USD
