Datetime,Open,High,Low,Close,Adj Close,Volume
2024-12-11 09:30:00-05:00,6060.14990234375,6065.89990234375,6060.14990234375,6063.7900390625,6063.7900390625,0
2024-12-11 09:31:00-05:00,6063.8798828125,6066.4501953125,6063.58984375,6066.08984375,6066.08984375,15065144
2024-12-11 09:32:00-05:00,6065.490234375,6067.75,6065.490234375,6067.18017578125,6067.18017578125,10945574
2024-12-11 09:33:00-05:00,6067.52978515625,6068.759765625,6066.33984375,6067.35986328125,6067.35986328125,11238766
2024-12-11 09:34:00-05:00,6066.759765625,6068.93994140625,6066.7001953125,6067.509765625,6067.509765625,10422769
2024-12-11 09:35:00-05:00,6067.4599609375,6069.4501953125,6067.4599609375,6069.4501953125,6069.4501953125,10153979
2024-12-11 09:36:00-05:00,6069.77978515625,6069.990234375,6068.2998046875,6068.759765625,6068.759765625,10393024
2024-12-11 09:37:00-05:00,6068.60009765625,6069.1298828125,6066.35009765625,6066.35986328125,6066.35986328125,9273562
2024-12-11 09:38:00-05:00,6066.419921875,6067.830078125,6066.1201171875,6066.8701171875,6066.8701171875,11057720
2024-12-11 09:39:00-05:00,6066.740234375,6068.14990234375,6066.47021484375,6066.85986328125,6066.85986328125,10184933
2024-12-11 09:40:00-05:00,6066.75,6068.740234375,6066.35009765625,6068.169921875,6068.169921875,10830216
2024-12-11 09:41:00-05:00,6068.27001953125,6070.02001953125,6068.08984375,6069.56982421875,6069.56982421875,9363983
2024-12-11 09:42:00-05:00,6069.5498046875,6069.5498046875,6066.759765625,6068.2998046875,6068.2998046875,9954148
2024-12-11 09:43:00-05:00,6068.41015625,6069.22998046875,6067.93017578125,6068.8798828125,6068.8798828125,9062512
2024-12-11 09:44:00-05:00,6069.02978515625,6070.2099609375,6069.02978515625,6069.25,6069.25,8866265
2024-12-11 09:45:00-05:00,6069.64013671875,6072.66015625,6068.66015625,6072.22998046875,6072.22998046875,8867753
2024-12-11 09:46:00-05:00,6072.2900390625,6073.9599609375,6071.72021484375,6073.2900390625,6073.2900390625,10337150
2024-12-11 09:47:00-05:00,6073.490234375,6075.080078125,6073.10986328125,6074.169921875,6074.169921875,9601060
2024-12-11 09:48:00-05:00,6074.16015625,6075.08984375,6073.97021484375,6074.27978515625,6074.27978515625,8589017
2024-12-11 09:49:00-05:00,6074.41015625,6074.43017578125,6072.52001953125,6073.10986328125,6073.10986328125,8406007
2024-12-11 09:50:00-05:00,6073.08984375,6074.7998046875,6072.830078125,6073.58984375,6073.58984375,9579755
2024-12-11 09:51:00-05:00,6073.6298828125,6074.93994140625,6073.5,6074.5400390625,6074.5400390625,9202622
2024-12-11 09:52:00-05:00,6074.47998046875,6075.06982421875,6073.919921875,6074.6201171875,6074.6201171875,8364834
2024-12-11 09:53:00-05:00,6074.64990234375,6075.6201171875,6073.64990234375,6075.22998046875,6075.22998046875,7804642
