contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122P00550000,2025-01-21 17:25:08+00:00,550.0,0.01,0.0,0.0,0.0,0.0,448.0,0.0,0.500005,False,REGULAR,USD
SPY250122P00551000,2025-01-21 17:25:20+00:00,551.0,0.01,0.0,0.0,0.0,0.0,495.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00552000,2025-01-21 17:27:11+00:00,552.0,0.01,0.0,0.0,0.0,0.0,20.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00553000,2025-01-21 17:27:40+00:00,553.0,0.01,0.0,0.0,0.0,0.0,555.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00554000,2025-01-21 19:57:32+00:00,554.0,0.01,0.0,0.0,0.0,0.0,68.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00555000,2025-01-21 17:33:46+00:00,555.0,0.01,0.0,0.0,0.0,0.0,142.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00556000,2025-01-21 21:00:52+00:00,556.0,0.01,0.0,0.0,0.0,0.0,2578.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00557000,2025-01-21 21:14:33+00:00,557.0,0.01,0.0,0.0,0.0,0.0,3716.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00558000,2025-01-21 21:13:10+00:00,558.0,0.01,0.0,0.0,0.0,0.0,224.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00559000,2025-01-21 20:47:41+00:00,559.0,0.01,0.0,0.0,0.0,0.0,5865.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00560000,2025-01-21 20:47:34+00:00,560.0,0.02,0.0,0.0,0.0,0.0,9088.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00561000,2025-01-21 20:23:19+00:00,561.0,0.02,0.0,0.0,0.0,0.0,2438.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00562000,2025-01-21 15:28:38+00:00,562.0,0.02,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00563000,2025-01-21 20:57:23+00:00,563.0,0.01,0.0,0.0,0.0,0.0,364.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00564000,2025-01-21 15:54:13+00:00,564.0,0.02,0.0,0.0,0.0,0.0,144.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00565000,2025-01-21 18:30:40+00:00,565.0,0.01,0.0,0.0,0.0,0.0,539.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00566000,2025-01-21 19:54:25+00:00,566.0,0.01,0.0,0.0,0.0,0.0,356.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00567000,2025-01-21 16:11:48+00:00,567.0,0.02,0.0,0.0,0.0,0.0,694.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00568000,2025-01-21 16:21:29+00:00,568.0,0.02,0.0,0.0,0.0,0.0,189.0,0.0,0.2500075,False,REGULAR,USD
SPY250122P00569000,2025-01-21 16:33:30+00:00,569.0,0.02,0.0,0.0,0.0,0.0,477.0,0.0,0.2500075,False,REGULAR,USD
