contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250122C00592000,2025-01-22 17:34:20+00:00,592.0,15.69,14.88,16.1,4.91,45.54731,96.0,882,0.41992767578125,True,REGULAR,USD
SPY250122C00593000,2025-01-22 17:28:09+00:00,593.0,14.57,13.86,14.57,4.42,43.5468,104.0,2058,0.3012765185546875,True,REGULAR,USD
SPY250122C00594000,2025-01-22 17:35:26+00:00,594.0,13.75,13.12,14.08,4.8,53.63129,122.0,2393,0.37720349365234374,True,REGULAR,USD
SPY250122C00595000,2025-01-22 17:37:32+00:00,595.0,12.62,12.53,12.56,4.3900003,53.341442,270.0,2231,0.2651440673828125,True,REGULAR,USD
SPY250122C00596000,2025-01-22 17:36:58+00:00,596.0,11.63,11.44,11.57,4.32,59.097134,209.0,1587,0.25049577636718745,True,REGULAR,USD
SPY250122C00597000,2025-01-22 17:39:52+00:00,597.0,10.63,10.5,10.69,4.29,67.66561,358.0,2992,0.256843369140625,True,REGULAR,USD
SPY250122C00598000,2025-01-22 17:35:44+00:00,598.0,9.66,9.44,9.57,4.1,73.741005,655.0,2651,0.215828154296875,True,REGULAR,USD
SPY250122C00599000,2025-01-22 17:37:31+00:00,599.0,8.67,8.41,8.52,4.17,92.666664,534.0,3025,0.188484677734375,True,REGULAR,USD
SPY250122C00600000,2025-01-22 17:38:52+00:00,600.0,7.56,7.46,7.57,3.94,108.83978,5182.0,7500,0.1801839794921875,True,REGULAR,USD
SPY250122C00601000,2025-01-22 17:41:21+00:00,601.0,6.6,6.43,6.5,3.76,132.39436,5760.0,7298,0.149422568359375,True,REGULAR,USD
SPY250122C00602000,2025-01-22 17:37:52+00:00,602.0,5.64,5.49,5.58,3.53,167.29858,6071.0,9122,0.1445398046875,True,REGULAR,USD
SPY250122C00603000,2025-01-22 17:40:17+00:00,603.0,4.63,4.51,4.56,3.0800002,198.7097,9255.0,9120,0.12207909179687501,True,REGULAR,USD
SPY250122C00604000,2025-01-22 17:42:14+00:00,604.0,3.55,3.52,3.6,2.5,238.09525,15449.0,11109,0.10718666259765625,True,REGULAR,USD
