Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-09-15 00:00:00-04:00,18.385547637939453,18.4255156098889,18.185704728831414,18.385547637939453,4700,0.0,0.0
2006-09-18 00:00:00-04:00,18.02583122253418,18.14573819726134,17.905925772487535,18.02583122253418,4900,0.0,0.0
2006-09-19 00:00:00-04:00,17.74605369567871,17.94589663583419,17.74605369567871,17.74605369567871,4800,0.0,0.0
2006-09-20 00:00:00-04:00,18.10576820373535,18.10576820373535,17.825987811468792,18.10576820373535,7000,0.0,0.0
2006-09-21 00:00:00-04:00,18.385547637939453,18.385547637939453,18.225672700780866,18.385547637939453,11300,0.0,0.0
2006-09-22 00:00:00-04:00,18.22567367553711,19.02504535472173,18.22567367553711,18.22567367553711,20700,0.0,0.0
2006-09-25 00:00:00-04:00,18.425518035888672,18.425518035888672,18.065801666940313,18.425518035888672,7400,0.0,0.0
2006-09-26 00:00:00-04:00,18.585390090942383,18.865170461763608,18.54542211997379,18.585390090942383,9400,0.0,0.0
2006-09-27 00:00:00-04:00,18.465486526489258,18.705297425987872,18.465486526489258,18.465486526489258,4900,0.0,0.0
2006-09-28 00:00:00-04:00,18.785232543945312,18.785232543945312,18.4654842098355,18.785232543945312,6100,0.0,0.0
2006-09-29 00:00:00-04:00,18.865171432495117,18.905139405520313,18.665328518008263,18.865171432495117,5300,0.0,0.0
2006-10-02 00:00:00-04:00,18.665328979492188,18.945109371627197,18.665328979492188,18.665328979492188,4800,0.0,0.0
2006-10-03 00:00:00-04:00,18.665328979492188,18.78523442621277,18.545423532771604,18.665328979492188,5800,0.0,0.0
2006-10-04 00:00:00-04:00,18.94510841369629,18.94510841369629,18.665328035707955,18.94510841369629,4800,0.0,0.0
2006-10-05 00:00:00-04:00,19.025043487548828,19.144950447402888,19.025043487548828,19.025043487548828,6000,0.0,0.0
2006-10-06 00:00:00-04:00,19.104982376098633,19.104982376098633,18.785234016916984,19.104982376098633,7100,0.0,0.0
2006-10-09 00:00:00-04:00,18.94510841369629,18.94510841369629,18.74526550437325,18.94510841369629,7500,0.0,0.0
2006-10-10 00:00:00-04:00,18.705291748046875,18.905134611860795,18.705291748046875,18.705291748046875,7700,0.0,0.0
2006-10-11 00:00:00-04:00,18.785232543945312,18.985075443348986,18.745264573936705,18.785232543945312,8800,0.0,0.0
2006-10-12 00:00:00-04:00,18.865171432495117,19.1449518177128,18.825201934789483,18.865171432495117,9900,0.0,0.0
2006-10-13 00:00:00-04:00,18.905141830444336,18.905141830444336,18.62536140933979,18.905141830444336,8700,0.0,0.0
2006-10-16 00:00:00-04:00,19.06501579284668,19.06501579284668,18.785235386410836,19.06501579284668,11700,0.0,0.0
2006-10-17 00:00:00-04:00,19.14495277404785,19.14495277404785,18.625359950682807,19.14495277404785,43300,0.0,0.0
2006-10-18 00:00:00-04:00,19.344797134399414,19.424733090376098,19.025047211770165,19.344797134399414,27100,0.0,0.0
2006-10-19 00:00:00-04:00,19.22488784790039,19.584605705423197,19.184919874700277,19.22488784790039,22000,0.0,0.0
2006-10-20 00:00:00-04:00,19.784446716308594,19.784446716308594,19.584603820184263,19.784446716308594,20600,0.0,0.0
2006-10-23 00:00:00-04:00,19.8643856048584,19.8643856048584,19.62457319749576,19.8643856048584,24700,0.0,0.0
2006-10-24 00:00:00-04:00,19.58460235595703,19.82441320350484,19.58460235595703,19.58460235595703,8700,0.0,0.0
2006-10-25 00:00:00-04:00,19.664541244506836,19.90435210950753,19.62457175055319,19.664541244506836,20800,0.0,0.0
2006-10-26 00:00:00-04:00,20.224102020263672,20.224102020263672,19.66454278324998,20.224102020263672,11500,0.0,0.0
2006-10-27 00:00:00-04:00,20.184133529663086,20.224101501037794,19.904353155999008,20.184133529663086,19300,0.0,0.0
2006-10-30 00:00:00-05:00,19.544635772705078,19.94432156335606,19.544635772705078,19.544635772705078,7900,0.0,0.0
2006-10-31 00:00:00-05:00,19.984294891357422,20.14416986036056,19.944326911446986,19.984294891357422,13500,0.0,0.0
2006-11-01 00:00:00-05:00,20.46391487121582,20.583820315691526,20.30403992879458,20.46391487121582,52400,0.0,0.0
2006-11-02 00:00:00-05:00,20.304039001464844,20.463913936584248,19.984290655906417,20.304039001464844,26500,0.0,0.0
2006-11-03 00:00:00-05:00,20.02425765991211,20.08820732593419,19.824414763008075,20.02425765991211,10700,0.0,0.0
2006-11-06 00:00:00-05:00,20.54384994506836,20.54384994506836,20.383975021303673,20.54384994506836,52900,0.0,0.0
2006-11-07 00:00:00-05:00,21.343223571777344,21.383191544230844,20.567832098863974,21.343223571777344,86300,0.0,0.0
2006-11-08 00:00:00-05:00,21.263286590576172,21.303254563947675,20.82363126008737,21.263286590576172,36600,0.0,0.0
2006-11-09 00:00:00-05:00,19.74448013305664,19.784448105215215,19.18491937475415,19.74448013305664,99100,0.0,0.0
2006-11-10 00:00:00-05:00,19.14495277404785,19.14495277404785,18.825202875152282,19.14495277404785,44400,0.0,0.0
2006-11-13 00:00:00-05:00,19.384761810302734,19.384761810302734,19.184918905041883,19.384761810302734,24600,0.0,0.0
2006-11-14 00:00:00-05:00,19.58460235595703,19.58460235595703,19.104979136181232,19.58460235595703,54200,0.0,0.0
